Gender,East/West/Out,VSAT,MSAT,WSAT,Athletics,Housing,FGEN,HSRank,HSGPA,Stem,ERG,GotSchol,Retained,1st_yr_GPA
M,west,530,540,590,0,1,0,64,3.2,0,8,0,Y,3.36
M,east,550,600,600,0,1,0,,2.84,0,5,0,Y,2
F,east,570,570,620,0,1,0,62,3.48,0,3,0,Y,3.64
M,west,560,590,500,0,1,1,45,2.6,1,4,0,Y,2.5
M,west,510,490,560,0,1,0,59,2.79,1,8,0,Y,2.53
M,east,640,490,480,0,1,0,,2.7,0,6,0,Y,2.15
M,west,490,580,440,0,1,1,96,4,0,8,1,Y,3.15
M,east,430,480,500,0,1,0,69,3,0,7,0,Y,3.06
F,east,480,510,590,0,1,0,78,3.6,0,NA,0,Y,3.21
F,west,390,350,340,0,1,1,41,3,0,6,0,Y,2.01
F,west,370,300,360,0,1,1,78,2.5,0,9,0,N,1.51
F,NA,470,470,440,0,1,0,50,2.9,0,3,0,Y,3.13
M,east,550,580,600,0,0,0,47,3.12,0,3,0,Y,2.8
F,east,500,560,550,0,1,0,86,3.28,0,6,0,Y,4
F,west,400,370,360,1,1,1,96,3.31,1,9,1,Y,2.24
F,west,390,290,380,0,1,1,74,2.76,0,9,0,Y,2.33
F,west,550,510,600,0,1,0,,2.51,0,2,0,Y,2.77
F,west,460,480,510,0,1,1,,3.11,1,9,0,Y,2.21
F,east,480,560,570,0,1,1,65,3.08,1,6,0,Y,3.69
M,east,590,560,580,0,0,0,64,3.7,1,4,0,Y,3.49
F,west,480,490,440,0,1,0,,2.9,1,2,0,Y,3.44
F,west,470,460,500,0,1,0,55,3.05,0,6,0,Y,3.28
M,west,570,660,640,0,1,0,,2.49,0,2,0,N,0
M,Out,520,530,470,1,1,0,,3,0,NA,0,Y,1.55
M,west,500,630,470,1,1,0,71,3,0,8,0,Y,3.37
F,west,480,540,470,0,1,0,85,3.62,1,9,1,Y,3.25
M,east,480,560,480,0,0,0,77,3.5,0,NA,0,N,0
F,west,420,470,530,1,1,1,,2.78,0,3,0,Y,3.2
F,east,470,620,420,0,1,1,87,3.9,1,6,1,Y,3.52
M,Out,,,,0,0,1,,2.74,0,8,0,Y,2.29
F,east,460,510,450,0,1,0,61,3.1,1,3,0,Y,3.37
F,Out,520,430,490,0,1,0,88,3.7,0,NA,0,Y,3.76
F,east,500,460,590,0,0,0,70,3.11,0,5,0,Y,2.72
F,west,580,590,470,0,1,0,65,2.91,0,4,0,Y,3.06
F,east,450,440,460,0,1,0,43,2.75,0,4,0,Y,1.5
F,west,510,390,480,0,1,0,59,2.75,0,4,0,Y,2.79
M,Out,590,650,580,0,1,0,,3,1,NA,1,Y,3.03
F,east,510,540,580,0,1,0,,2.87,0,8,0,Y,3
M,west,540,530,540,0,1,0,,2.57,0,3,0,Y,3.6
F,west,,,,0,1,1,78,3.2,0,9,1,Y,2.17
F,west,560,440,500,0,1,1,67,3.7,0,4,0,Y,3.79
M,west,580,450,520,0,0,0,,2.67,0,9,0,N,1.98
M,east,550,570,480,0,0,1,,3.1,0,3,0,Y,3.65
M,west,640,600,490,0,1,1,,2.4,1,2,1,N,0.58
F,west,530,440,530,0,1,1,53,3.3,0,4,0,N,0
F,east,510,620,620,1,1,0,90,3.7,0,4,1,Y,3.73
F,west,420,380,490,0,1,0,70,2.84,0,9,1,N,2.71
F,west,530,440,510,0,1,1,96,4,0,6,1,N,3.94
M,east,470,510,390,0,1,1,49,2.5,1,6,1,Y,2.32
F,east,520,470,490,0,1,1,74,3,0,7,0,N,0
F,east,,,,0,0,1,51,3,1,4,0,Y,3.48
M,east,530,510,560,0,1,1,75,3,0,NA,0,Y,3.54
M,east,470,550,480,0,1,1,80,2.82,0,9,1,Y,2.13
M,east,600,510,560,0,0,0,48,3,0,4,1,Y,3.17
F,west,440,490,540,0,1,1,,3.1,0,2,0,N,0
M,west,480,470,460,0,1,0,,2,0,2,0,N,2
F,Out,360,420,420,0,1,0,,2.4,1,NA,0,N,2.1
M,west,470,540,480,0,1,0,50,3,0,2,0,Y,2.49
F,east,470,480,440,0,1,0,58,3.28,1,3,0,N,3
F,east,,,,0,0,1,61,2.9,0,8,0,Y,3.4
F,west,420,490,520,0,1,0,70,3.1,0,8,0,Y,3.52
F,west,570,540,550,0,1,0,73,3.5,0,8,0,N,3.5
M,Out,,,,0,0,1,,,0,8,1,Y,2.58
F,east,410,500,490,0,1,1,69,3.3,0,4,0,N,3.55
F,east,390,490,490,0,1,0,50,3,0,4,0,Y,3.2
F,east,420,400,430,0,1,1,,2.02,0,3,1,Y,2.3
M,east,520,550,540,0,1,1,58,3.19,0,2,0,Y,3.6
F,west,580,520,500,0,1,0,50,2.41,0,6,0,Y,2.94
F,west,500,400,510,0,1,1,,3.95,0,2,0,Y,3.87
F,west,420,420,470,1,1,0,61,2.65,0,8,1,Y,3.41
F,east,550,490,570,0,1,1,47,2.85,0,4,0,N,1.49
F,east,610,510,670,0,1,0,94,4,0,6,1,Y,3.32
M,west,520,490,470,1,1,0,53,2.64,0,4,0,N,2.11
F,west,400,370,380,0,1,0,42,2.54,0,8,0,Y,1.83
F,east,510,470,500,0,0,1,61,3.41,0,3,1,Y,2.99
F,west,550,470,540,0,1,1,61,3.1,0,8,0,N,2.83
F,east,430,440,490,0,1,0,90,3.5,0,9,1,Y,3.58
F,west,500,470,460,0,1,0,55,2.9,1,4,0,Y,2.55
F,west,350,410,370,0,1,1,37,2.8,1,8,0,Y,2.55
F,Out,670,500,680,0,1,1,74,3.53,0,NA,1,Y,3.5
M,NA,520,420,500,0,1,0,,3.37,0,2,0,Y,3.24
F,west,470,460,490,0,1,1,27,2.7,0,4,0,Y,2.31
M,west,480,390,410,1,1,1,,2.3,0,4,0,Y,2.13
M,west,560,570,550,0,1,0,,3.5,0,2,0,Y,3.25
F,NA,460,470,520,0,1,1,54,3.52,0,3,1,Y,3.49
M,west,430,480,520,0,1,0,54,3.03,0,6,0,Y,3.45
M,east,520,510,550,0,0,0,93,3.42,0,7,1,Y,3.69
M,west,450,520,420,0,1,1,,3,0,4,0,Y,2.7
F,west,500,490,550,0,1,0,81,3.45,0,3,0,Y,3.49
M,Out,590,530,510,0,1,0,47,2.88,1,NA,0,Y,3.17
F,west,610,440,660,0,1,0,,3.1,0,1,1,N,2.81
F,west,480,600,510,0,1,0,,3.3,1,2,0,N,3.47
M,east,520,580,540,0,1,0,,3.6,0,3,1,Y,3.9
F,east,550,600,560,0,1,1,,3.17,1,3,1,Y,2.87
M,west,570,500,630,0,1,1,53,2.9,0,8,0,N,3.44
F,west,770,740,660,0,1,0,,2.97,1,9,0,Y,2.4
F,Out,560,570,660,1,1,0,94,4,0,NA,1,Y,3.93
M,east,,,,0,0,1,53,2.3,0,9,0,N,0.85
M,west,630,640,550,0,1,0,,2.8,0,2,0,Y,3.58
M,west,480,580,490,0,1,0,,2.3,0,2,0,Y,3.13
F,west,470,550,580,0,1,1,,3.48,0,2,0,Y,3
F,Out,650,530,540,0,1,0,,4,0,3,1,Y,3.9
F,east,570,570,540,0,0,1,61,3.2,0,3,0,Y,3.2
F,Out,500,540,520,1,1,0,69,3,0,NA,0,Y,3.7
F,west,400,470,500,0,1,1,45,2.3,0,6,0,Y,3.13
M,west,480,580,520,0,1,0,62,2.65,0,6,0,Y,2.7
F,east,540,490,520,0,1,0,,3.52,0,3,0,Y,3.61
F,west,480,490,580,0,1,0,47,2.73,0,5,0,N,2.88
F,east,410,510,470,0,1,1,22,2.3,0,2,0,Y,2.67
F,east,610,480,490,0,0,0,,2.2,0,3,0,Y,2.53
M,west,480,600,460,0,1,0,60,3.2,1,6,0,N,3.05
F,west,460,580,540,0,1,1,,3,1,2,0,Y,2.74
M,west,490,570,550,0,1,0,78,4,0,4,0,Y,3.4
M,west,340,280,330,0,1,1,81,2.91,0,9,1,Y,0
F,west,510,520,540,1,1,1,,3.2,0,2,0,Y,3.49
F,west,580,540,600,0,1,1,,2.9,0,1,0,Y,1.37
F,east,500,490,520,1,1,0,87,3.18,0,6,1,Y,3.33
F,west,410,290,400,0,1,1,,3.09,0,6,0,Y,2.14
F,west,550,500,630,0,1,1,45,2.81,0,4,0,Y,2.53
M,west,620,590,610,0,1,0,82,3.7,0,8,1,N,3.73
F,west,590,450,620,0,1,0,23,2.6,0,6,0,N,3.06
M,east,530,570,520,0,0,1,,3.4,1,3,0,Y,1.39
F,west,470,500,470,0,1,1,61,3,0,3,0,N,2.82
M,east,530,480,530,0,1,1,50,2.5,1,7,0,Y,2.01
F,east,430,410,370,0,1,1,50,2.7,0,6,0,Y,2.78
F,east,430,520,510,0,1,0,37,2.67,0,2,0,Y,3.23
M,west,560,630,480,0,1,0,,2.9,0,1,0,Y,3.25
F,west,470,430,510,0,1,0,,2.93,0,2,0,N,2.98
M,west,520,560,620,0,1,1,52,2.6,0,8,0,Y,2.05
M,east,470,550,530,0,1,0,,2.5,0,2,0,N,2.25
F,east,660,520,630,0,1,0,54,3.23,0,3,1,Y,3.54
F,west,490,490,480,0,1,1,74,3.15,0,9,1,Y,2.92
F,east,480,430,520,0,1,0,62,3.18,0,4,0,Y,2.37
M,east,500,580,490,0,1,0,29,2.57,1,4,0,Y,1.56
F,east,600,440,550,0,1,1,,2.6,0,3,0,Y,2.42
F,east,480,510,510,0,1,0,,2.6,0,2,0,N,3
F,west,370,370,320,0,1,1,,2.55,1,9,1,N,2.56
F,west,620,610,700,1,1,0,98,4.2,0,4,1,Y,3.91
M,west,550,560,530,0,1,0,60,3.02,0,4,0,Y,3.18
M,east,640,570,580,0,1,0,72,3,0,6,1,Y,3.26
M,east,470,480,470,1,1,1,40,2.77,0,4,0,Y,2.55
F,west,600,510,520,0,1,1,76,3.5,0,8,0,Y,2.58
F,east,560,560,570,0,0,0,76,3.3,1,3,1,Y,3.16
F,Out,510,580,510,1,1,0,40,3.1,0,NA,1,N,3.39
M,east,,,,1,1,0,27,2.7,0,4,0,Y,2.12
M,east,540,590,520,0,1,0,,3.14,0,8,0,Y,3.71
F,east,510,490,530,0,1,0,,2.67,1,5,0,N,1.94
M,east,620,670,550,1,1,0,63,3.36,1,5,1,Y,3.58
F,east,430,540,490,1,1,1,73,3,1,7,0,Y,3.05
M,Out,440,520,450,1,1,0,54,2.97,0,NA,0,Y,2.9
M,east,550,590,480,0,1,0,50,2.83,0,6,1,Y,1.95
M,west,460,520,430,0,1,0,58,3.17,0,7,0,N,2.91
M,west,510,550,430,1,1,1,35,2.3,0,6,0,Y,2.93
F,east,560,470,490,0,1,0,61,3.3,0,6,0,N,2.65
F,east,500,390,510,1,1,0,61,3.3,0,4,0,Y,2.79
F,west,490,420,610,0,1,0,52,3,0,5,0,Y,2.7
M,west,560,470,560,0,1,1,61,2.78,0,6,0,Y,2.74
F,west,550,540,550,0,1,0,51,2.93,1,8,0,Y,3.2
M,west,530,560,590,1,1,0,,2.8,0,2,0,Y,3.35
F,west,390,300,420,0,1,1,,2.14,0,4,0,N,0
F,west,490,470,540,0,1,0,65,2.94,0,4,1,Y,3.23
F,east,510,530,560,0,0,1,85,3.6,0,8,0,Y,2.89
F,west,440,490,450,0,1,1,59,3.24,0,4,0,N,3.56
F,west,490,480,380,0,1,0,,3.02,0,9,0,N,2.45
M,west,390,470,460,0,1,0,40,2.82,0,4,0,Y,1.92
M,west,470,570,540,0,1,0,,2.7,1,2,0,Y,3.64
M,east,320,340,280,0,1,1,56,2.87,1,8,0,Y,2.27
F,west,550,490,500,0,1,0,34,2.37,0,8,0,Y,3.15
F,east,450,430,420,0,1,0,60,3.29,0,2,0,Y,2.98
F,east,500,530,580,0,1,0,88,4,0,6,0,Y,3.7
M,west,490,470,440,0,1,0,33,2.8,0,4,0,N,0
F,east,440,490,430,0,1,0,78,3,0,7,1,Y,3.39
M,west,500,540,480,0,1,1,67,2.98,1,6,0,Y,2.97
M,west,460,440,530,0,1,0,64,3,0,6,0,Y,2.56
F,west,500,550,480,0,1,1,50,2.81,1,4,0,Y,3.18
F,west,420,360,350,0,1,1,,2.32,0,6,0,Y,1.98
M,west,480,460,580,0,1,0,55,3.48,0,2,0,Y,3.22
M,west,540,590,430,0,1,0,,2.3,1,1,0,Y,2.45
M,west,600,530,650,0,1,0,,2.8,0,2,0,Y,2.8
F,west,320,320,360,0,1,1,59,2.6,0,9,0,Y,1.98
F,east,480,530,420,0,1,0,57,3,0,7,0,Y,2.79
M,east,490,560,580,1,1,1,45,2.86,0,2,0,Y,3
F,east,630,650,590,0,1,0,94,3.7,0,7,1,Y,3.81
F,east,420,460,430,0,1,1,67,3.7,0,4,0,Y,2.71
F,east,,,,0,0,1,99,4,0,9,1,Y,3.65
F,west,470,530,460,0,1,1,66,3.19,0,3,0,N,2.74
F,west,420,470,420,0,1,1,,3.3,0,1,0,Y,3.15
M,east,570,610,600,0,0,0,,3.04,0,3,0,Y,2.76
M,west,530,590,540,0,1,1,,2.8,0,1,0,N,3.5
M,west,470,460,610,0,1,1,,2.84,0,2,0,Y,3.45
F,east,430,520,400,0,1,1,49,2.7,0,7,1,Y,2.99
F,east,500,500,570,0,0,1,78,3.59,1,4,1,Y,3.26
M,east,470,490,560,0,0,0,26,2.53,1,3,0,Y,3.07
M,west,560,610,580,0,1,0,,3.1,0,3,0,Y,3.81
M,Out,480,730,640,0,0,0,,3.98,0,8,1,N,3.87
M,east,550,520,500,0,1,0,86,3.6,0,7,1,Y,3.47
F,east,510,500,530,0,1,0,53,2.9,0,3,0,Y,2.99
F,east,440,450,470,0,1,0,74,3.3,0,8,0,Y,2.97
F,west,600,580,650,0,1,1,91,4,0,4,1,Y,3.67
F,west,370,390,320,0,1,1,52,2.43,0,8,0,Y,2.38
M,east,570,510,480,0,1,1,43,2.6,0,6,0,Y,2.62
F,east,490,480,580,0,0,0,,3.06,0,5,1,Y,3.82
M,west,520,560,480,0,1,0,63,2.81,0,4,0,Y,3.53
M,west,580,610,560,0,1,1,,2.9,0,2,0,Y,1.5
F,west,450,540,560,0,1,0,,2.7,0,1,0,Y,2.53
F,east,420,440,510,0,1,0,84,3.08,0,6,0,Y,3.63
M,west,520,520,410,0,1,1,25,2.78,0,8,0,N,0
M,east,450,520,380,0,0,0,,2.7,1,3,0,Y,2.98
M,west,600,540,550,0,1,0,,2.3,1,1,0,Y,2.99
F,east,430,500,560,0,0,0,,2.6,0,2,0,Y,2.85
M,east,500,500,530,0,1,0,47,2.92,0,4,0,Y,2.84
M,east,520,600,400,0,1,0,30,2.1,0,8,0,Y,2.48
M,west,510,520,470,0,1,1,20,2.38,1,4,0,Y,2.39
M,east,480,660,600,0,0,0,,3.48,1,8,0,Y,2.33
M,west,540,610,510,1,1,0,65,3,0,6,1,Y,2.64
F,west,420,430,440,0,1,1,60,2.86,0,8,1,N,3.17
F,west,460,450,500,0,1,1,,2.6,0,2,0,Y,2.67
M,west,520,430,560,0,1,0,,2.6,0,1,0,Y,3.22
M,west,580,700,570,0,1,0,,3.1,0,2,0,Y,2.72
F,east,390,480,420,0,1,1,49,2.9,0,3,0,Y,3.04
M,west,550,530,550,0,1,1,31,2,0,6,0,Y,2.53
M,east,470,480,490,0,0,0,46,3,0,9,0,Y,2.51
F,east,530,470,500,0,0,0,85,3.18,1,5,0,Y,3.06
M,east,530,560,520,0,1,1,60,2.98,0,6,0,N,0.41
M,Out,500,590,520,0,1,0,76,3.8,1,NA,1,N,0
F,west,540,350,530,0,1,0,59,3.1,0,2,0,Y,3.43
F,west,470,500,500,1,1,0,89,3.92,1,8,1,Y,3.08
F,west,430,500,440,0,1,0,65,3.2,0,4,0,Y,2.34
M,east,610,510,550,0,1,0,50,2.98,0,4,0,Y,3.17
F,west,390,400,420,0,1,1,,2.18,0,2,1,Y,2.56
F,east,570,620,660,0,1,0,,2.5,1,8,0,Y,3.22
F,west,480,490,510,0,1,0,,2.8,0,2,0,N,3.26
M,east,500,460,420,0,0,1,,2.5,0,3,0,Y,2.54
M,west,520,540,480,0,1,1,,2.9,0,2,0,N,0
F,west,560,570,590,0,1,1,66,3.13,0,4,0,Y,2.28
M,west,500,500,500,0,1,1,52,3,0,8,0,Y,2.67
F,west,510,500,490,0,1,0,,2.8,0,2,0,Y,2.98
F,NA,510,530,460,0,1,0,62,3.37,0,NA,0,N,3.11
F,Out,500,540,450,0,1,1,96,4,1,NA,0,N,0
M,east,450,500,520,1,1,0,,,0,8,0,N,3.02
M,east,460,460,420,0,1,1,50,2.55,0,5,0,Y,2.15
M,east,510,540,450,0,1,1,57,3.04,1,3,0,N,0
F,west,540,590,580,0,1,1,90,4,0,4,0,Y,3.85
F,east,480,470,520,0,1,0,,2.4,0,3,0,Y,2.53
F,west,550,620,560,0,1,0,75,3.18,0,4,0,Y,3.46
F,east,350,470,450,0,1,1,72,2.82,1,6,0,Y,2.72
M,east,490,570,610,0,1,1,38,2.68,0,2,0,Y,3.43
M,west,490,530,490,0,1,0,38,2.63,0,2,0,Y,2.59
F,west,420,460,350,0,1,1,,2.35,0,2,0,Y,2.9
F,west,550,440,530,0,1,1,66,3.524,1,8,0,N,3.83
F,east,540,520,530,0,1,1,52,2.8,0,3,0,Y,2.99
F,east,550,460,480,0,1,1,,2.84,1,NA,0,Y,3.51
F,west,640,530,570,0,1,1,70,3.29,0,7,0,Y,3.03
M,west,480,450,440,0,1,1,52,2.6,0,6,0,Y,3.17
F,west,430,460,510,0,1,0,,2.5,0,1,0,N,0
F,east,480,460,490,0,0,1,67,2.98,0,5,1,Y,2.65
M,west,390,490,510,0,1,1,64,2.9,0,8,0,Y,1.96
M,west,460,580,460,1,1,0,60,3.1,0,6,0,Y,3.02
F,east,550,560,540,0,0,0,93,3.7,0,7,1,Y,3.7
F,west,640,650,530,0,1,0,,2.6,0,1,0,Y,3.55
M,west,440,590,550,1,1,1,,3,0,2,0,Y,2.96
M,east,500,520,500,0,1,0,86,4,0,4,0,Y,3.27
M,east,500,680,550,0,1,1,47,3.13,0,3,0,Y,3.47
M,east,560,640,570,0,1,1,,2.9,1,2,0,N,0
M,west,650,630,570,0,1,1,81,3.59,1,4,0,Y,2.63
M,east,440,530,460,0,1,1,84,3.62,0,NA,0,N,0.49
M,east,630,610,550,0,1,0,8,2.34,0,3,0,Y,2.95
M,west,470,560,440,0,1,1,55,3.3,1,4,0,Y,3.25
F,west,450,440,470,0,1,1,56,2.87,0,4,0,Y,2.56
F,Out,,,,1,1,0,,3.9,0,NA,1,Y,3.84
M,west,500,520,440,0,1,0,,3.3,0,4,0,Y,3.66
F,Out,440,480,430,1,1,0,62,2.82,0,5,0,Y,2.5
F,east,570,550,580,0,0,1,76,3.08,0,3,0,N,0
F,east,480,540,480,0,1,0,52,2.5,0,7,1,Y,2.73
F,east,630,660,720,0,1,0,89,3.01,0,3,1,Y,3.71
M,west,580,520,480,0,1,0,,2.6,0,2,0,Y,2.49
M,east,570,480,500,1,1,0,66,3.13,0,5,0,Y,3.06
M,west,510,580,560,0,1,0,,3.09,0,2,1,Y,3.37
M,east,470,550,410,0,1,0,,2.93,0,6,0,Y,2.29
M,west,,,,0,1,0,,3.2,0,2,1,Y,3.39
M,east,540,540,600,0,1,0,36,2.5,0,3,0,Y,2.83
M,west,510,440,470,0,1,0,83,3,0,9,0,Y,2.27
M,west,500,640,480,0,1,0,,2.5,0,2,0,Y,2.36
F,west,420,380,520,0,1,1,69,3,0,8,0,Y,2.94
F,west,370,330,410,0,1,0,,2.88,0,9,0,Y,2.78
F,east,360,390,380,0,1,1,63,2.95,0,6,1,Y,3.02
M,east,440,470,470,0,1,0,59,2.85,0,6,1,Y,2.62
M,west,500,620,540,0,1,1,,3.3,0,2,0,Y,3.01
F,Out,530,520,520,1,1,0,57,3.5,1,NA,1,Y,3.21
F,east,440,500,520,0,1,0,71,2.5,0,6,0,Y,2.18
F,west,640,550,670,0,1,0,,3,0,8,0,Y,3.73
F,Out,390,430,370,0,1,0,53,3.2,0,NA,0,Y,2.79
F,east,490,440,470,0,1,1,72,3,0,6,0,Y,2.46
F,east,590,600,580,0,0,0,89,3.3,1,7,1,Y,3.52
F,east,550,580,570,0,1,0,88,4,0,4,1,Y,3.05
M,east,590,540,560,0,0,0,81,3.14,0,NA,0,N,2.6
M,east,520,440,460,0,1,1,54,2.6,0,6,0,Y,3.01
F,east,520,510,460,0,1,1,74,3,0,7,1,Y,2.48
M,NA,470,580,520,0,1,0,52,3.1,0,2,0,Y,3.55
M,east,310,400,380,0,1,1,60,3.49,1,8,0,Y,2.03
M,west,670,640,560,0,1,0,,2.2,0,3,0,N,0
F,east,530,510,530,0,1,0,68,2.8,0,3,0,Y,3.58
M,east,520,530,450,0,1,0,32,3,0,4,0,Y,2.28
M,west,540,610,470,0,1,1,75,3.2,0,8,0,N,3.39
M,east,590,570,480,0,1,1,67,3,0,8,0,N,0
F,east,520,480,600,0,1,1,90,3.79,0,7,0,Y,3.8
M,west,490,470,460,0,1,1,,2.8,0,2,0,N,1.94
M,east,500,610,530,0,1,1,85,3.5,0,5,0,Y,2.52
M,east,550,640,600,0,1,0,65,3.1,1,2,0,Y,2.57
M,NA,500,490,470,1,1,1,77,3.28,0,7,0,Y,3.28
M,east,580,540,580,0,0,1,32,2.39,0,5,0,N,0.39
M,west,400,330,460,0,1,1,74,2.6,0,9,0,N,2.2
M,west,630,630,560,0,1,1,44,2.91,1,3,1,Y,3.66
M,east,460,410,420,1,1,1,36,2.6,0,6,0,Y,2.84
F,west,530,450,510,0,1,0,,2.7,0,3,0,Y,3.39
M,west,450,500,480,1,1,1,52,2.67,0,8,0,Y,2.33
F,west,460,470,410,0,1,0,45,2.4,0,6,1,Y,1.77
F,east,410,420,400,0,1,1,91,3.4,0,9,1,Y,2.95
M,west,550,540,500,0,1,1,54,3.3,0,4,0,N,2.95
F,east,350,400,450,0,1,1,50,2.84,0,6,1,N,1.43
M,Out,530,540,420,0,1,1,46,2.9,1,NA,0,Y,2.51
F,east,540,370,430,0,1,1,81,3.7,0,8,0,Y,3.29
M,east,530,380,540,0,0,0,78,2.73,0,9,0,N,0
M,west,520,570,410,0,1,1,20,,0,4,0,Y,2.28
M,east,530,590,390,0,1,0,47,2.8,1,3,0,Y,2.37
F,east,570,470,570,0,1,0,72,3,0,7,1,Y,3.02
M,east,510,480,520,0,1,1,24,2.64,0,4,0,Y,2.99
F,east,440,440,410,0,1,1,24,2.52,0,4,1,Y,2.76
F,east,500,490,470,0,1,0,88,3.5,0,6,0,Y,3.45
F,west,500,440,540,0,1,1,,2.9,1,9,1,Y,2.01
F,east,510,540,420,0,1,1,38,2,0,7,0,Y,3.24
F,east,590,470,580,0,0,1,99,3.8,0,9,1,Y,3.92
M,west,520,540,570,0,1,0,,2.85,0,2,0,N,3.28
M,west,510,600,540,0,1,1,34,2.5,0,2,0,Y,2.97
F,west,530,510,520,0,0,1,,3.56,1,2,0,N,3.79
F,east,570,490,600,0,0,1,86,3.6,0,NA,0,Y,1.61
F,east,410,360,430,0,1,1,30,2.72,0,6,0,N,0
M,east,470,500,520,0,0,0,43,2.8,0,3,0,Y,3.31
M,west,450,500,410,0,1,0,28,2.53,0,4,0,N,0.81
M,east,640,590,630,0,0,0,,3.7,0,3,0,Y,3.49
F,west,460,540,440,0,1,1,39,2.72,0,8,0,Y,2.37
F,west,480,540,600,0,1,1,,3.8,1,2,0,N,3.97
F,west,480,510,520,0,1,1,,3.2,0,2,0,N,3.1
F,Out,540,610,590,0,1,0,93,3.72,0,NA,1,Y,3.47
F,Out,560,350,560,0,1,1,69,2.7,0,NA,0,N,0
F,west,500,430,480,1,1,0,,2.5,0,2,0,Y,2.34
F,west,500,460,490,0,1,0,35,2.74,0,2,0,Y,3
F,west,430,460,470,0,1,0,68,3.08,0,8,0,N,2.99
M,west,500,600,480,0,1,1,38,2.74,0,3,1,N,1.97
M,west,470,530,540,0,1,1,25,2.63,0,4,0,Y,2.39
F,east,640,490,540,0,1,0,47,2.6,0,8,0,Y,3.42
F,west,500,520,500,0,1,0,62,3.3,0,8,0,Y,2.64
M,west,420,360,360,1,1,0,35,2.3,0,8,0,N,2.02
M,west,530,540,590,0,1,1,63,3.5,0,4,0,Y,3.78
M,Out,570,560,500,0,1,0,12,2.3,0,NA,0,N,1.06
F,east,480,460,540,0,1,1,51,2.9,0,3,1,Y,2.85
F,west,420,430,410,0,1,0,68,2.98,0,8,0,N,0
F,east,440,380,450,0,1,1,41,3,0,4,0,Y,2.28
F,west,510,500,570,0,1,0,75,3.2,0,4,0,Y,3.45
F,east,410,520,550,0,1,0,,3.29,1,5,0,Y,3.25
M,west,550,510,440,0,1,1,,3,0,2,0,Y,2.6
F,Out,470,570,470,1,1,0,41,2.7,0,NA,0,Y,3.64
M,Out,460,450,470,0,1,0,34,2.7,0,NA,0,N,2.8
F,west,480,470,530,0,1,1,,3.1,0,2,0,N,3.42
F,east,490,490,490,0,1,1,,2.8,0,2,0,N,1.7
M,west,690,460,560,0,1,1,48,2.36,0,8,0,Y,2.17
M,west,530,500,450,0,1,0,,,0,2,1,N,0
F,east,530,380,540,0,1,1,39,2.95,0,3,0,Y,3.63
M,east,570,510,510,0,0,1,92,4,0,8,1,Y,2.71
M,Out,470,500,540,0,0,1,,2.31,0,8,0,N,2.5
F,east,560,500,580,0,1,0,,3.295,0,3,0,N,0
F,east,590,510,550,0,1,1,58,2.7,0,7,0,N,2.94
F,east,400,500,470,0,1,1,,2.4,0,3,1,Y,1.86
F,west,600,520,480,1,1,1,73,3,0,6,0,Y,3.54
F,east,500,490,510,0,1,0,,2.6,0,3,0,N,2.87
F,west,520,510,470,0,1,0,,2.7,0,2,0,Y,3.47
M,west,450,470,410,1,1,0,38,2.4,0,8,0,Y,1.65
M,west,490,470,400,0,1,0,,2.7,0,3,0,Y,1.89
F,west,380,530,440,0,1,1,39,2.38,0,8,0,Y,1.83
F,east,800,640,660,0,0,0,28,2.6,0,3,0,Y,3.49
M,east,550,530,570,0,1,1,38,2.8,0,3,0,Y,3.34
M,east,640,630,610,0,0,0,54,3.23,1,3,0,Y,3.42
M,Out,310,760,410,0,1,1,,2.69,0,NA,0,N,0
F,west,540,570,510,0,1,1,50,3.3,0,4,0,Y,3.02
F,east,420,480,440,0,0,0,,3.6,0,5,0,Y,3.84
M,Out,520,480,550,1,1,0,67,3,1,NA,0,N,1.81
F,east,650,700,630,0,1,0,97,3.4,0,6,1,Y,3.41
F,east,490,490,470,0,1,1,,2.9,0,2,0,Y,2.05
F,east,430,510,470,0,0,0,68,3.23,0,7,0,Y,2.26
F,Out,430,480,430,0,0,1,,2.33,0,NA,0,N,0
M,east,430,440,440,0,1,0,57,2.7,1,8,0,Y,1.92
F,west,480,530,550,0,1,1,48,2.5,0,8,0,N,2.62
M,west,480,590,400,0,1,0,41,2.5,0,8,0,Y,3.13
M,west,600,570,540,0,1,0,,3,1,1,0,Y,3.13
F,west,550,600,580,0,1,0,60,3.6,0,3,1,Y,3.27
F,west,580,400,570,0,1,0,,2.8,0,1,1,Y,3.19
M,Out,,,,0,1,0,,2.3,1,NA,0,Y,2.31
M,east,690,450,460,0,0,1,40,2.7,0,9,1,Y,3.07
F,west,440,430,480,0,1,0,,2.74,0,2,0,Y,2.96
F,east,430,500,410,0,0,1,,2.5,0,3,0,N,0
M,east,570,530,520,0,0,1,51,2.6,0,5,0,Y,3.44
M,east,490,580,500,0,1,1,65,3.1,1,6,0,Y,3.47
M,west,450,440,530,0,1,0,,3,0,2,0,Y,3.24
F,east,550,500,550,0,1,0,,3.1,0,5,0,Y,2.3
F,east,300,290,300,0,0,1,72,3.01,0,9,0,Y,2.25
M,west,560,610,520,0,1,0,35,2.5,0,3,0,N,1.22
M,west,440,450,500,0,1,1,35,2.5,0,2,0,N,0
M,east,520,530,580,0,0,1,61,3.1,1,5,0,Y,3.49
